Species,Inv_Nat
Alliaria petiolata,i 
Acer saccharum,n
Parthenocissus quinquefolia,n
Allium vineale,n
Rosa multiflora,i 
Lonicera japonica,i 
P1-t-1,n
Aralia elata,i 
Toxicodendron radicans,n
Erythronium americanum,n
Microstegium vimineum,i 
Celastrus orbiculatus,i 
Grasses & Sedges,n
Bare ground,
Lindera benzoin,n
Allium tricoccum,n
Rubus fruticosus,n
Thelypteris noveboracensis,n
P1-i-2,n
Euonymus alatus,i 
Persicaria perfoliata,i 
Moss,n
Polystichum acrostichoides,n
Eurybia divaricata,n
Viburnum dentatum,n
Ostrya virginiana,n
Populus deltoides,n
Geranium maculatum,n
Persicaria maculosa,n
Quercus sapling,n
Berberis thunbergii,i 
Athyrium filix-femina,n
Ligustrum vulgare,i 
Solidago caesia,n
Rubus phoenicolasius,i 
Sassafras albidum,n
Aralia nudicaulis,n
Vaccinium angustifolium,n
Trifolium repens,n
Ampelopsis brevipedunculata,i 
Hamamelis virginiana,n
Betula lenta,n
Viburnum acerifolium,n
Gaultheria procumbens,n
Carya glabra,n
Fagus grandifolia,n
Chimaphila maculata,n
Mitchella repens,n
Amphicarpaea bracteata,n
Maianthemum racemosum,n
Symplocarpus foetidus,n
Impatiens capensis,n
Osmundastrum cinnamomeum,n
Viburnum dilatatum,n
Persicaria longiseta,n
Hackelia virginiana,n
Ulmus rubra,n
Cardamine impatiens,n
Liriodendron tulipifera,n
Osmunda claytoniana,n
Persicaria punctata,n
Solidago rugosa,n
Nyssa sylvatica,n
Smilax glauca,n
Dichanthelium latifolium,n
Vaccinium pallidum,n
Viburnum rafinesqueanum,n
Fraxinus americana,n
Polygonatum humile,n
Smilax ecirrhata,n
Euonymus americanus,n
Lysimachia borealis,n
Viburnum prunifolium,n
Arisaema triphyllum,n
Circaea alpina,n
Trientalis borealis,n
Quercus montana,n
Quercus velutina,n
Carya ovata,n
Quercus rubra,n
Liriodendron tulipifera (dead),n
Betula lenta (dead),n
Prunus serotina,n
Robinia pseudoacacia,n
Quercus bicolor,n
Quercus palustris,n
Cornus florida,n
Quercus stellata,n
Betula alleghaniensis,n
Fagus grandifolia (dead),n
Tsuga canadensis,n
Fraxinus excelsior,n
Populus balsamifera,n
Picea rubens,n
Picea rubens (dead),n
Acer saccharum (dead),n
Quercus velutina (dead),n